id,gp,minutes,pts,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
Johnny Kerr,905,27784,12480,10092,2004,0,0,0,2287,11751,4909,3682,2662,0,0
Jerome Kersey,1153,28115,11825,6339,2134,1439,799,1583,3454,10166,4723,3364,2321,288,58
Jason Kidd,1107,41171,15318,7409,10199,2198,351,3461,2103,13609,5469,3702,2894,4348,1486
Bernard King,874,29417,19655,5060,2863,866,230,2791,2885,15109,7830,5444,3972,134,23
Billy Knight,671,18412,10561,3037,1435,627,91,1256,1204,8026,4064,2892,2399,124,34
Sam Lacey,1002,31873,10303,9687,3754,999,1160,978,3473,9693,4276,2369,1748,16,3
Christian Laettner,868,25761,11121,5806,2224,917,673,1932,2768,8405,4036,3604,2957,353,92
Bill Laimbeer,1068,33956,13790,10400,2184,710,965,1594,3633,11198,5574,2916,2440,619,202
Bob Lanier,959,32103,19248,9698,3007,777,1100,1112,3048,15092,7761,4858,3724,13,2
Rudy Larusso,736,24487,11507,6936,1556,0,0,0,2553,9521,4102,4308,3303,0,0
Lafayette Lever,752,23814,10433,4523,4696,1666,209,1471,1803,9504,4244,2312,1783,523,162
Freddie Lewis,686,24038,11660,2661,2883,355,21,1368,2016,9613,4161,3741,3063,983,275
Rashard Lewis,777,26865,13128,4485,1452,888,451,1282,1885,10386,4756,2720,2197,3626,1419
John Long,893,22680,12131,2492,1738,912,180,1555,1868,10929,5108,2104,1814,314,101
Kevin Loughery,755,22308,11575,2254,2803,0,0,0,2543,10829,4477,3262,2621,0,0
Bob Love,789,25120,13895,4653,1123,232,56,0,2130,12688,5447,3728,3001,0,0
Clyde Lovellette,704,19075,11947,6663,1097,0,0,0,2289,10795,4784,3141,2379,0,0
Jerry Lucas,829,32131,14053,12942,2732,28,24,0,2387,11441,5709,3365,2635,0,0
Maurice Lucas,855,24787,12339,7520,1987,639,538,1810,2865,10297,4870,3399,2595,36,4
Ed Macauley,641,18071,11234,4325,2079,0,0,0,1667,8589,3742,4929,3750,0,0
Corey Maggette,640,18738,10431,3258,1382,489,127,1503,1807,7075,3189,4467,3660,1216,393
Dan Majerle,955,30209,10925,4265,2755,1194,360,1116,1927,9171,3950,2246,1665,3798,1360
Jeff Malone,905,29660,17231,2364,2154,577,100,1538,1695,14674,7099,3383,2947,321,86
Karl Malone,1476,54852,36928,14967,5248,2085,1145,4524,4578,26210,13528,13188,9787,310,85
Moses Malone,1329,45071,27409,16212,1796,1089,1732,3804,3076,19225,9435,11090,8531,80,8
Danny Manning,883,24205,12367,4615,2063,1000,752,1853,2895,9835,5026,3120,2274,199,41
Pete Maravich,658,24316,15948,2747,3563,587,108,530,1865,14025,6187,4344,3564,15,10
Stephon Marbury,846,31899,16297,2516,6471,1022,121,2547,2014,13324,5769,4804,3768,3048,991
Jack Marin,849,24590,12541,4405,1813,155,59,0,2416,10890,5068,2852,2405,0,0
Shawn Marion,744,28023,13254,7384,1511,1362,976,1192,1869,11133,5357,2281,1870,1989,670
Donyell Marshall,958,25028,10716,6350,1305,789,848,1293,2173,9411,4096,2219,1622,2578,902
Jamal Mashburn,611,22761,11644,3271,2414,632,109,1585,1533,10222,4277,3032,2323,2226,767
Cedric Maxwell,835,23769,10465,5261,1862,671,433,1841,2273,6293,3433,4592,3598,19,1
Vernon Maxwell,855,24309,10912,2200,2912,975,152,1663,1766,9878,3932,2446,1792,3931,1256
Bob McAdoo,852,28327,18787,8048,1951,751,1147,1223,2726,14751,7420,5229,3944,37,3
Xavier McDaniel,870,25201,13606,5312,1775,791,415,1887,2557,11685,5673,3046,2186,283,74
Antonio McDyess,865,25053,11391,6788,1133,703,1028,1469,2767,9389,4672,3044,2040,57,7
Tracy McGrady,784,27467,17289,4777,3699,1039,744,1830,1486,14433,6290,4927,3689,3012,1020
