id,gp,minutes,pts,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
Bob Cousy,924,30165,16960,4786,6955,0,0,0,2242,16468,6168,5756,4624,0,0
Dave Cowens,766,29565,13516,10444,2910,599,488,543,2920,12499,5744,2590,2027,14,1
Terry Cummings,1183,33898,19460,8630,2190,1255,650,2200,3836,16628,8045,4711,3326,149,44
Billy Cunningham,654,22406,13626,6638,2625,115,45,0,2431,11467,5116,4717,3394,0,0
Dell Curry,1083,23548,12670,2617,1909,985,238,1299,1795,11146,5090,1476,1245,3098,1245
Lou Dampier,728,27770,13726,2282,4044,236,117,1337,1633,12047,5290,2849,2352,2217,794
Bob Dandridge,839,29502,15530,5715,2846,661,303,630,2940,13317,6445,3382,2638,12,2
Mel Daniels,628,22340,11739,9494,1134,96,351,1374,2280,9950,4659,3676,2418,34,3
Adrian Dantley,955,34151,23177,5455,2830,944,150,2503,2550,15121,8169,8351,6832,41,7
Brad Daugherty,548,20029,10389,5227,2028,422,397,1511,1466,7189,3823,3670,2741,14,2
Baron Davis,673,23827,11364,2705,4902,1292,286,1875,1947,10059,4119,2846,1983,3539,1143
Walter Davis,1033,28859,19521,3053,3878,1280,133,2541,2454,15871,8118,3676,3128,577,157
Dave Debusschere,875,31202,14053,9618,2497,67,39,0,2801,13249,5722,3730,2609,0,0
Vlade Divac,1134,33824,13398,9326,3541,1288,1631,2470,3609,10510,5205,4176,2888,426,100
John Drew,739,21828,15291,5088,1224,1004,193,1402,2641,11658,5481,5774,4319,57,10
Clyde Drexler,1086,37537,22195,6677,6125,2207,719,2977,3285,17673,8335,5962,4698,2603,827
Joe Dumars,1018,35139,16401,2203,4612,902,83,2084,1826,13026,5994,4059,3423,2592,990
Tim Duncan,899,33151,19246,10546,2847,689,2117,2494,2394,14539,7376,6530,4470,128,24
James Edwards,1168,28356,14862,6004,1499,420,867,1931,4042,11724,5802,4666,3257,21,1
Sean Elliott,742,24502,10544,3204,1897,576,284,1328,1626,8290,3852,2816,2251,1572,589
Dale Ellis,1209,34778,19002,4201,1746,974,183,1771,2480,15275,7322,3365,2639,4269,1719
Leroy Ellis,1048,27520,10176,8709,1405,146,151,0,2661,9378,4143,2595,1890,0,0
Wayne Embry,831,21763,10380,7544,1194,0,0,0,2838,9067,3993,3741,2394,0,0
Alex English,1193,38063,25613,6538,4351,1067,833,2821,3027,21036,10659,5141,4277,83,18
Julius Erving,407,16550,11662,4924,1952,764,648,1617,1208,9094,4581,3102,2412,273,88
Julius Erving,836,28677,18364,5601,3224,1508,1293,2323,2286,14276,7237,4950,3844,176,46
Patrick Ewing,1183,40597,24815,11606,2215,1136,2894,3535,4034,19241,9702,7289,5392,125,19
Michael Finley,1057,37290,17104,4733,3202,986,317,1608,1779,14911,6615,3017,2452,3798,1422
Vern Fleming,893,24721,10125,3015,4293,926,105,1795,2003,7954,3964,2826,2159,210,38
Sleepy Floyd,957,26383,12260,2494,5175,1120,215,2251,1972,10015,4448,3493,2846,1599,518
Larry Foust,817,21890,11198,8041,1368,0,0,0,2909,9414,3814,4816,3570,0,0
Steve Francis,576,21632,10446,3215,3473,845,223,2030,1813,8267,3543,3494,2785,1684,575
